p max 2002 139600
a 1 563 0
a 1 564 0
a 1 565 0
a 1 566 0
a 1 567 0
a 1 568 0
a 1 569 0
a 1 570 0
a 1 571 0
a 1 572 0
a 1 573 0
a 1 574 0
a 1 575 0
a 1 576 0
a 1 577 0
a 1 578 0
a 1 579 0
a 1 580 0
a 1 581 0
a 1 582 0
a 1 583 0
a 1 584 0
a 1 585 0
a 1 586 0
a 1 587 0
a 1 588 0
a 1 589 0
a 1 590 0
a 1 591 0
a 1 592 0
a 1 593 0
a 1 594 0
a 1 595 0
a 1 596 0
a 1 597 0
a 1 598 0
a 1 599 0
a 1 600 0
a 1 601 0
a 1 602 0
a 1 603 0
a 1 604 0
a 1 605 0
a 1 606 0
a 1 607 0
a 1 608 0
a 1 609 0
a 1 610 0
a 1 611 0
a 1 612 0
a 1 613 0
a 1 614 0
a 1 615 0
a 1 616 0
a 1 617 0
a 1 618 0
a 1 619 0
a 1 620 0
a 1 621 0
a 1 622 0
a 1 623 0
a 1 624 0
a 1 625 0
a 1 626 0
a 1 627 0
a 1 628 0
a 1 629 0
a 1 630 0
a 1 631 0
a 1 632 0
a 1 633 0
a 1 634 0
a 1 635 0
a 1 636 0
a 1 637 0
a 1 638 0
a 1 639 0
a 1 640 0
a 1 641 0
a 1 642 0
a 1 643 0
a 1 644 0
a 1 645 0
a 1 646 0
a 1 647 0
a 1 648 0
a 1 649 0
a 1 650 0
a 1 651 0
a 1 652 0
a 1 653 0
a 1 654 0
a 1 655 0
a 1 656 0
a 1 657 0
a 1 658 0
a 1 659 0
a 1 660 0
a 1 661 0
a 1 662 0
a 1 663 0
a 1 664 0
a 1 665 0
a 1 666 0
a 1 667 0
a 1 668 0
a 1 669 0
a 1 670 0
a 1 671 0
a 1 672 0
a 1 673 0
a 1 674 0
a 1 675 0
a 1 676 0
a 1 677 0
a 1 678 0
a 1 679 0
a 1 680 0
a 1 681 0
a 1 682 0
a 1 683 0
a 1 684 0
a 1 685 0
a 1 686 0
a 1 687 0
a 1 688 0
a 1 689 0
a 1 690 0
a 1 691 0
a 1 692 0
a 1 693 0
a 1 694 0
a 1 695 0
a 1 696 0
a 1 697 0
a 1 698 0
a 1 699 0
a 1 700 0
a 1 701 0
a 1 702 0
a 1 703 0
a 1 704 0
a 1 705 0
a 1 706 0
a 1 707 0
a 1 708 0
a 1 709 0
a 1 710 0
a 1 711 0
a 1 712 0
a 1 713 0
a 1 714 0
a 1 715 0
a 1 716 0
a 1 717 0
a 1 718 0
a 1 719 0
a 1 720 0
a 1 721 0
a 1 722 0
a 1 723 0
a 1 724 0
a 1 725 0
a 1 726 0
a 1 727 0
a 1 728 0
a 1 729 0
a 1 730 0
a 1 731 0
a 1 732 0
a 1 733 0
a 1 734 0
a 1 735 0
a 1 736 0
a 1 737 0
a 1 738 0
a 1 739 0
a 1 740 0
a 1 741 0
a 1 742 0
a 1 743 0
a 1 744 0
a 1 745 0
a 1 746 0
a 1 747 0
a 1 748 0
a 1 749 0
a 1 750 0
a 1 751 0
a 1 752 0
a 1 753 0
a 1 754 0
a 1 755 0
a 1 756 0
a 1 757 0
a 1 758 0
a 1 759 0
a 1 760 0
a 1 761 0
a 1 762 0
a 1 763 0
a 1 764 0
a 1 765 0
a 1 766 0
a 1 767 0
a 1 768 0
a 1 769 0
a 1 770 0
a 1 771 0
a 1 772 0
a 1 773 0
a 1 774 0
a 1 775 0
a 1 776 0
a 1 777 0
a 1 778 0
a 1 779 0
a 1 780 0
a 1 781 0
a 1 782 0
a 1 783 0
a 1 784 0
a 1 785 0
a 1 786 0
a 1 787 0
a 1 788 0
a 1 789 0
a 1 790 0
a 1 791 0
a 1 792 0
a 1 793 0
a 1 794 0
a 1 795 0
a 1 796 0
a 1 797 0
a 1 798 0
a 1 799 0
a 1 800 0
a 1 801 0
a 1 802 0
a 1 803 0
a 1 804 0
a 1 805 0
a 1 806 0
a 1 807 0
a 1 808 0
a 1 809 0
a 1 810 0
a 1 811 0
a 1 812 0
a 1 813 0
a 1 814 0
a 1 815 0
a 1 816 0
a 1 817 0
a 1 818 0
a 1 819 0
a 1 820 0
a 1 821 0
a 1 822 0
a 1 823 0
a 1 824 0
a 1 825 0
a 1 826 0
a 1 827 0
a 1 828 0
a 1 829 0
a 1 830 0
a 1 831 0
a 1 832 0
a 1 833 0
a 1 834 0
a 1 835 0
a 1 836 0
a 1 837 0
a 1 838 0
a 1 839 0
a 1 840 0
a 1 841 0
a 1 842 0
a 1 843 0
a 1 844 0
a 1 845 0
a 1 846 0
a 1 847 0
a 1 848 0
a 1 849 0
a 1 850 0
a 1 851 0
a 1 852 0
a 1 853 0
a 1 854 0
a 1 855 0
a 1 856 0
a 1 857 0
a 1 858 0
a 1 859 0
a 1 860 0
a 1 861 0
a 1 862 0
a 1 863 0
a 1 864 0
a 1 865 0
a 1 866 0
a 1 867 0
a 1 868 0
a 1 869 0
a 1 870 0
a 1 871 0
a 1 872 0
a 1 873 0
a 1 874 0
a 1 875 0
a 1 876 0
a 1 877 0
a 1 878 0
a 1 879 0
a 1 880 0
a 1 881 0
a 1 882 0
a 1 883 0
a 1 884 0
a 1 885 0
a 1 886 0
a 1 887 0
a 1 888 0
a 1 889 0
a 1 890 0
a 1 891 0
a 1 892 0
a 1 893 0
a 1 894 0
a 1 895 0
a 1 896 0
a 1 897 0
a 1 898 0
a 1 899 0
a 1 900 0
a 1 901 0
a 1 902 0
a 1 903 0
a 1 904 0
a 1 905 0
a 1 906 0
a 1 907 0
a 1 908 0
a 1 909 0
a 1 910 0
a 1 911 0
a 1 912 0
a 1 913 0
a 1 914 0
a 1 915 0
a 1 916 0
a 1 917 0
a 1 918 0
a 1 919 0
a 1 920 0
a 1 921 0
a 1 922 0
a 1 923 0
a 1 924 0
a 1 925 0
a 1 926 0
a 1 927 0
a 1 928 0
a 1 929 0
a 1 930 0
a 1 931 0
a 1 932 0
a 1 933 0
a 1 934 0
a 1 935 0
a 1 936 0
a 1 937 0
a 1 938 0
a 1 939 0
a 1 940 0
a 1 941 0
a 1 942 0
a 1 943 0
a 1 944 0
a 1 945 0
a 1 946 0
a 1 947 0
a 1 948 0
a 1 949 0
a 1 950 0
a 1 951 0
a 1 952 0
a 1 953 0
a 1 954 0
a 1 955 0
a 1 956 0
a 1 957 0
a 1 958 0
a 1 959 0
a 1 960 0
a 1 961 0
a 1 962 0
a 1 963 0
a 1 964 0
a 1 965 0
a 1 966 0
a 1 967 0
a 1 968 0
a 1 969 0
a 1 970 0
a 1 971 0
a 1 972 0
a 1 973 0
a 1 974 0
a 1 975 0
a 1 976 0
a 1 977 0
a 1 978 0
a 1 979 0
a 1 980 0
a 1 981 0
a 1 982 0
a 1 983 0
a 1 984 0
a 1 985 0
a 1 986 0
a 1 987 0
a 1 988 0
a 1 989 0
a 1 990 0
a 1 991 0
a 1 992 0
a 1 993 0
a 1 994 0
a 1 995 0
a 1 996 0
a 1 997 0
a 1 998 0
a 1 999 0
a 1 1000 0
a 1 1001 0
a 1 1002 0
a 1 1003 3335
a 1 1004 4187
a 1 1005 4776
a 1 1006 5028
a 1 1007 4868
a 1 1008 4414
a 1 1009 4020
a 1 1010 3658
a 1 1011 3468
a 1 1012 3467
a 1 1013 3662
a 1 1014 3952
a 1 1015 4360
a 1 1016 4784
a 1 1017 5240
a 1 1018 5547
a 1 1019 5521
a 1 1020 5136
a 1 1021 4446
a 1 1022 3472
a 1 1023 4212
a 1 1024 5217
a 1 1025 5856
a 1 1026 6091
a 1 1027 5839
a 1 1028 5346
a 1 1029 4911
a 1 1030 4554
a 1 1031 4371
a 1 1032 4360
a 1 1033 4518
a 1 1034 4837
a 1 1035 5261
a 1 1036 5738
a 1 1037 6312
a 1 1038 6785
a 1 1039 6830
a 1 1040 6432
a 1 1041 5642
a 1 1042 4426
a 1 1043 4829
a 1 1044 5900
a 1 1045 6542
a 1 1046 6695
a 1 1047 6413
a 1 1048 5966
a 1 1049 5648
a 1 1050 5424
a 1 1051 5346
a 1 1052 5346
a 1 1053 5387
a 1 1054 5573
a 1 1055 5842
a 1 1056 6266
a 1 1057 6903
a 1 1058 7536
a 1 1059 7663
a 1 1060 7333
a 1 1061 6510
a 1 1062 5145
a 1 1063 5150
a 1 1064 6187
a 1 1065 6827
a 1 1066 6980
a 1 1067 6768
a 1 1068 6551
a 1 1069 6524
a 1 1070 6565
a 1 1071 6671
a 1 1072 6681
a 1 1073 6530
a 1 1074 6443
a 1 1075 6393
a 1 1076 6548
a 1 1077 7102
a 1 1078 7850
a 1 1079 8094
a 1 1080 7848
a 1 1081 7077
a 1 1082 5664
a 1 1083 5265
a 1 1084 6270
a 1 1085 6860
a 1 1086 6993
a 1 1087 6892
a 1 1088 6900
a 1 1089 7110
a 1 1090 7399
a 1 1091 7670
a 1 1092 7671
a 1 1093 7320
a 1 1094 6995
a 1 1095 6678
a 1 1096 6596
a 1 1097 7026
a 1 1098 7832
a 1 1099 8148
a 1 1100 7987
a 1 1101 7286
a 1 1102 5883
a 1 1103 5128
a 1 1104 6043
a 1 1105 6562
a 1 1106 6614
a 1 1107 6603
a 1 1108 6837
a 1 1109 7309
a 1 1110 7822
a 1 1111 8264
a 1 1112 8257
a 1 1113 7753
a 1 1114 7200
a 1 1115 6666
a 1 1116 6378
a 1 1117 6744
a 1 1118 7571
a 1 1119 7943
a 1 1120 7841
a 1 1121 7212
a 1 1122 5822
a 1 1123 5098
a 1 1124 5962
a 1 1125 6440
a 1 1126 6479
a 1 1127 6534
a 1 1128 6873
a 1 1129 7537
a 1 1130 8230
a 1 1131 8796
a 1 1132 8808
a 1 1133 8250
a 1 1134 7542
a 1 1135 6844
a 1 1136 6434
a 1 1137 6758
a 1 1138 7534
a 1 1139 7920
a 1 1140 7842
a 1 1141 7201
a 1 1142 5811
a 1 1143 5183
a 1 1144 6059
a 1 1145 6568
a 1 1146 6667
a 1 1147 6756
a 1 1148 7122
a 1 1149 7840
a 1 1150 8595
a 1 1151 9173
a 1 1152 9230
a 1 1153 8677
a 1 1154 7939
a 1 1155 7190
a 1 1156 6767
a 1 1157 7028
a 1 1158 7739
a 1 1159 8082
a 1 1160 7953
a 1 1161 7263
a 1 1162 5832
a 1 1163 5310
a 1 1164 6259
a 1 1165 6784
a 1 1166 6904
a 1 1167 6981
a 1 1168 7247
a 1 1169 7906
a 1 1170 8615
a 1 1171 9150
a 1 1172 9207
a 1 1173 8773
a 1 1174 8139
a 1 1175 7530
a 1 1176 7232
a 1 1177 7539
a 1 1178 8156
a 1 1179 8371
a 1 1180 8136
a 1 1181 7351
a 1 1182 5850
a 1 1183 5353
a 1 1184 6315
a 1 1185 6902
a 1 1186 7071
a 1 1187 7170
a 1 1188 7352
a 1 1189 7975
a 1 1190 8652
a 1 1191 9170
a 1 1192 9270
a 1 1193 9020
a 1 1194 8540
a 1 1195 8039
a 1 1196 7835
a 1 1197 8138
a 1 1198 8609
a 1 1199 8696
a 1 1200 8353
a 1 1201 7434
a 1 1202 5868
a 1 1203 5469
a 1 1204 6490
a 1 1205 7105
a 1 1206 7338
a 1 1207 7403
a 1 1208 7442
a 1 1209 7962
a 1 1210 8550
a 1 1211 9041
a 1 1212 9272
a 1 1213 9237
a 1 1214 8945
a 1 1215 8642
a 1 1216 8560
a 1 1217 8779
a 1 1218 9086
a 1 1219 9004
a 1 1220 8520
a 1 1221 7466
a 1 1222 5872
a 1 1223 5535
a 1 1224 6616
a 1 1225 7292
a 1 1226 7583
a 1 1227 7632
a 1 1228 7546
a 1 1229 7910
a 1 1230 8333
a 1 1231 8739
a 1 1232 9033
a 1 1233 9161
a 1 1234 9078
a 1 1235 8998
a 1 1236 9045
a 1 1237 9217
a 1 1238 9433
a 1 1239 9210
a 1 1240 8582
a 1 1241 7452
a 1 1242 5843
a 1 1243 5560
a 1 1244 6658
a 1 1245 7342
a 1 1246 7628
a 1 1247 7663
a 1 1248 7464
a 1 1249 7716
a 1 1250 7982
a 1 1251 8306
a 1 1252 8572
a 1 1253 8763
a 1 1254 8794
a 1 1255 8943
a 1 1256 9100
a 1 1257 9335
a 1 1258 9574
a 1 1259 9328
a 1 1260 8649
a 1 1261 7490
a 1 1262 5865
a 1 1263 5583
a 1 1264 6720
a 1 1265 7457
a 1 1266 7738
a 1 1267 7732
a 1 1268 7438
a 1 1269 7521
a 1 1270 7630
a 1 1271 7835
a 1 1272 8049
a 1 1273 8225
a 1 1274 8310
a 1 1275 8543
a 1 1276 8783
a 1 1277 9109
a 1 1278 9430
a 1 1279 9259
a 1 1280 8616
a 1 1281 7473
a 1 1282 5836
a 1 1283 5703
a 1 1284 6963
a 1 1285 7751
a 1 1286 8063
a 1 1287 8027
a 1 1288 7606
a 1 1289 7447
a 1 1290 7320
a 1 1291 7295
a 1 1292 7305
a 1 1293 7337
a 1 1294 7422
a 1 1295 7743
a 1 1296 8134
a 1 1297 8633
a 1 1298 9144
a 1 1299 9098
a 1 1300 8531
a 1 1301 7461
a 1 1302 5842
a 1 1303 5750
a 1 1304 7116
a 1 1305 8026
a 1 1306 8468
a 1 1307 8499
a 1 1308 8064
a 1 1309 7705
a 1 1310 7294
a 1 1311 6896
a 1 1312 6556
a 1 1313 6315
a 1 1314 6334
a 1 1315 6711
a 1 1316 7280
a 1 1317 8034
a 1 1318 8790
a 1 1319 8933
a 1 1320 8475
a 1 1321 7470
a 1 1322 5862
a 1 1323 5826
a 1 1324 7264
a 1 1325 8223
a 1 1326 8705
a 1 1327 8750
a 1 1328 8309
a 1 1329 7852
a 1 1330 7320
a 1 1331 6724
a 1 1332 6170
a 1 1333 5716
a 1 1334 5617
a 1 1335 5935
a 1 1336 6589
a 1 1337 7514
a 1 1338 8456
a 1 1339 8747
a 1 1340 8431
a 1 1341 7466
a 1 1342 5868
a 1 1343 5836
a 1 1344 7300
a 1 1345 8269
a 1 1346 8755
a 1 1347 8792
a 1 1348 8360
a 1 1349 7881
a 1 1350 7332
a 1 1351 6708
a 1 1352 6093
a 1 1353 5599
a 1 1354 5465
a 1 1355 5727
a 1 1356 6399
a 1 1357 7360
a 1 1358 8328
a 1 1359 8670
a 1 1360 8387
a 1 1361 7437
a 1 1362 5872
a 1 1363 5772
a 1 1364 7217
a 1 1365 8159
a 1 1366 8632
a 1 1367 8707
a 1 1368 8306
a 1 1369 7871
a 1 1370 7368
a 1 1371 6770
a 1 1372 6188
a 1 1373 5719
a 1 1374 5642
a 1 1375 5941
a 1 1376 6640
a 1 1377 7562
a 1 1378 8506
a 1 1379 8761
a 1 1380 8435
a 1 1381 7451
a 1 1382 5901
a 1 1383 5736
a 1 1384 7082
a 1 1385 7984
a 1 1386 8413
a 1 1387 8444
a 1 1388 8079
a 1 1389 7757
a 1 1390 7375
a 1 1391 6958
a 1 1392 6599
a 1 1393 6314
a 1 1394 6348
a 1 1395 6694
a 1 1396 7319
a 1 1397 8076
a 1 1398 8843
a 1 1399 8950
a 1 1400 8500
a 1 1401 7426
a 1 1402 5873
a 1 1403 5647
a 1 1404 6854
a 1 1405 7600
a 1 1406 7815
a 1 1407 7728
a 1 1408 7338
a 1 1409 7152
a 1 1410 7024
a 1 1411 6966
a 1 1412 6938
a 1 1413 6919
a 1 1414 7050
a 1 1415 7362
a 1 1416 7863
a 1 1417 8440
a 1 1418 9047
a 1 1419 9061
a 1 1420 8551
a 1 1421 7443
a 1 1422 5867
a 1 1423 5455
a 1 1424 6508
a 1 1425 7098
a 1 1426 7151
a 1 1427 6991
a 1 1428 6613
a 1 1429 6533
a 1 1430 6570
a 1 1431 6734
a 1 1432 6889
a 1 1433 7021
a 1 1434 7231
a 1 1435 7584
a 1 1436 8024
a 1 1437 8534
a 1 1438 9093
a 1 1439 9073
a 1 1440 8530
a 1 1441 7444
a 1 1442 5891
a 1 1443 5297
a 1 1444 6276
a 1 1445 6786
a 1 1446 6753
a 1 1447 6567
a 1 1448 6182
a 1 1449 6069
a 1 1450 6140
a 1 1451 6342
a 1 1452 6556
a 1 1453 6776
a 1 1454 7074
a 1 1455 7467
a 1 1456 7930
a 1 1457 8439
a 1 1458 8999
a 1 1459 8965
a 1 1460 8443
a 1 1461 7386
a 1 1462 5848
a 1 1463 5146
a 1 1464 6040
a 1 1465 6472
a 1 1466 6334
a 1 1467 6038
a 1 1468 5616
a 1 1469 5450
a 1 1470 5483
a 1 1471 5712
a 1 1472 5988
a 1 1473 6292
a 1 1474 6642
a 1 1475 7079
a 1 1476 7624
a 1 1477 8171
a 1 1478 8752
a 1 1479 8811
a 1 1480 8366
a 1 1481 7329
a 1 1482 5832
a 1 1483 4909
a 1 1484 5729
a 1 1485 6012
a 1 1486 5723
a 1 1487 5362
a 1 1488 4907
a 1 1489 4668
a 1 1490 4671
a 1 1491 4850
a 1 1492 5103
a 1 1493 5446
a 1 1494 5861
a 1 1495 6389
a 1 1496 7066
a 1 1497 7764
a 1 1498 8470
a 1 1499 8638
a 1 1500 8292
a 1 1501 7343
a 1 1502 5873
a 1 1503 4738
a 1 1504 5522
a 1 1505 5760
a 1 1506 5462
a 1 1507 5108
a 1 1508 4699
a 1 1509 4427
a 1 1510 4367
a 1 1511 4454
a 1 1512 4683
a 1 1513 5076
a 1 1514 5567
a 1 1515 6213
a 1 1516 7011
a 1 1517 7769
a 1 1518 8474
a 1 1519 8628
a 1 1520 8271
a 1 1521 7312
a 1 1522 5865
a 1 1523 4658
a 1 1524 5438
a 1 1525 5726
a 1 1526 5483
a 1 1527 5201
a 1 1528 4899
a 1 1529 4669
a 1 1530 4582
a 1 1531 4603
a 1 1532 4877
a 1 1533 5390
a 1 1534 5988
a 1 1535 6700
a 1 1536 7570
a 1 1537 8265
a 1 1538 8814
a 1 1539 8837
a 1 1540 8393
a 1 1541 7363
a 1 1542 5858
a 1 1543 4646
a 1 1544 5412
a 1 1545 5703
a 1 1546 5448
a 1 1547 5140
a 1 1548 4874
a 1 1549 4690
a 1 1550 4665
a 1 1551 4762
a 1 1552 5200
a 1 1553 5858
a 1 1554 6565
a 1 1555 7317
a 1 1556 8181
a 1 1557 8772
a 1 1558 9161
a 1 1559 9061
a 1 1560 8528
a 1 1561 7410
a 1 1562 5867
a 1 1563 4709
a 1 1564 5479
a 1 1565 5762
a 1 1566 5512
a 1 1567 5203
a 1 1568 4973
a 1 1569 4846
a 1 1570 4931
a 1 1571 5151
a 1 1572 5739
a 1 1573 6500
a 1 1574 7268
a 1 1575 8020
a 1 1576 8797
a 1 1577 9274
a 1 1578 9520
a 1 1579 9296
a 1 1580 8630
a 1 1581 7472
a 1 1582 5884
a 1 1583 4874
a 1 1584 5711
a 1 1585 6086
a 1 1586 5913
a 1 1587 5607
a 1 1588 5397
a 1 1589 5342
a 1 1590 5518
a 1 1591 5876
a 1 1592 6615
a 1 1593 7431
a 1 1594 8185
a 1 1595 8830
a 1 1596 9468
a 1 1597 9758
a 1 1598 9838
